Year,Contestant,Original script,Rank,Award
1993,Wu Meng Tan,Wu-Meng Tan; 陈有明,14,Gold medal
1993,Wei Yang Cheong,Wei Yang Cheong,35,Silver medal
1993,Ji Jon Sit,Ji Jon Sit,51,Silver medal
1993,Boon Teik Tan,Boon Teik Tan,82,Bronze medal
1992,Wei Kiat Ong,Wei Kiat Ong,15,Gold medal
1992,Boon Yeow Chan,Boon Yeow Chan,27,Silver medal
1992,Benjamin Khay Wee Koh,Benjamin Khay Wee Koh,66,Bronze medal
1992,Mark Edward Puhaindran,Mark Edward Puhaindran,76,Bronze medal
1991,Sao Wei Lee,Sao Wei Lee,44,Bronze medal
1991,Thian Boon Brandon Lee,Thian Boon Brandon Lee,48,Bronze medal
1991,Eu Meng Ang,Eu Meng Ang,69,Bronze medal
1991,Tiam Chye Tan,Tiam Chye Tan,,Participant
1990,Sun Shee Leong,Sun Shee Leong,39,Bronze medal
1990,Chow Huat Khoo,Chow Huat Khoo,45,Bronze medal
1990,Kah Keong Low,Kah Keong Low,58,Bronze medal
1990,Choon Siah Goh,Choon Siah Goh,,Participant
1988,Loo Sun Sun Leslie,Loo Sun Sun Leslie,34,Silver medal
1988,Ling Yee Kiang,Ling Yee Kiang,36,Bronze medal
1988,Lim Hong Kiang,Lim Hong Kiang,56,Bronze medal
1988,Francis Chong Fu Shin,Francis Chong Fu Shin,,Participant
