Year,Contestant,Original script,Rank,Award
1996,Alexandra Kaczka,Alexandra Kaczka,,Participant
1995,Piotr Lipiec,Piotr Lipiec,34,Silver medal
1995,Tomasz Zieliński,Tomasz Zieliński,76,Bronze medal
1995,Adam Sikora,Adam Sikora,77,Bronze medal
1995,Bartosz Dybowski,Bartosz Dybowski,98,Bronze medal
1994,Tomasz Zieliński,Tomasz Zieliński,42,Silver medal
1994,Dariusz Grzegórski,Dariusz Grzegórski,66,Bronze medal
1994,Konrad Patkowski,Konrad Patkowski,81,Bronze medal
1994,Albin Wiśniewski,Albin Wiśniewski,93,Bronze medal
1993,Rafał Podeszwa,Rafał Podeszwa,11,Gold medal
1993,Andrzej Lewandowicz,Andrzej Lewandowicz,37,Silver medal
1993,Grzegorz Michalak,Grzegorz Michalak,50,Silver medal
1993,Joanna Wysocka,Joanna Wysocka,98,Honorable mention
1992,Andrzej Lewandowicz,Andrzej Lewandowicz,7,Gold medal
1992,Wojciech Macyk,Wojciech Macyk,19,Silver medal
1992,Maksymilian Chruszcz,Maksymilian Chruszcz,23,Silver medal
1992,Joanna Wysocka,Joanna Wysocka,63,Bronze medal
1991,Zbigniew Babik,Zbigniew Babik,10,Gold medal
1991,Marcin Kloc,Marcin Kloc,10,Gold medal
1991,Maciej Augustyniak,Maciej Augustyniak,14,Silver medal
1991,Grzegorz Sykuła,Grzegorz Sykuła,71,Bronze medal
1990,Wojciech Płonka,Wojciech Płonka,11,Gold medal
1990,Przemysław Witek,Przemysław Witek,15,Silver medal
1990,Marcin Andrzejak,Marcin Andrzejak,19,Silver medal
1990,Wojciech Nowaczek,Wojciech Nowaczek,22,Silver medal
1989,Jacek Nowakowski,Jacek Nowakowski,8,Gold medal
1989,Tomasz Motylewski,Tomasz Motylewski,21,Silver medal
1989,Małgorzata Rowicka,Małgorzata Rowicka,33,Silver medal
1989,Marcin Andrzejak,Marcin Andrzejak,,Participant
1988,Tomasz Motylewski,Tomasz Motylewski,5,Gold medal
1988,Jacek Nowakowski,Jacek Nowakowski,21,Silver medal
1988,Leszek Pazderski,Leszek Pazderski,34,Silver medal
1988,Wiesław Dudek,Wiesław Dudek,50,Bronze medal
1987,Ewa Adamowicz,Ewa Adamowicz,17,Silver medal
1987,Tomasz Motylewski,Tomasz Motylewski,22,Silver medal
1987,Wiesław Dudek,Wiesław Dudek,42,Bronze medal
1987,Jacek Wojaczyński,Jacek Wojaczyński,43,Bronze medal
1986,Mariusz Klencki,Mariusz Klencki,6,Gold medal
1986,Jarosław Pillardy,Jarosław Pillardy,8,Gold medal
1986,Ewa Adamowicz,Ewa Adamowicz,18,Silver medal
1986,Maciej Matusiak,Maciej Matusiak,33,Bronze medal
1985,Jaroslaw Pillardy,Jaroslaw Pillardy,24,Silver medal
1985,Leszek Grzesiak,Leszek Grzesiak,31,Silver medal
1985,Mariusz Klencki,Mariusz Klencki,33,Bronze medal
1985,Andrzej Eilmes,Andrzej Eilmes,43,Bronze medal
1984,Przemyslaw Swiecki,Przemysław Święcki,8,Gold medal
1984,Piotr Piasecki,Piotr Piasecki,41,Bronze medal
1984,Piotr Trelewicz,Piotr Trelewicz,41,Bronze medal
1984,Robert Charmas,Robert Charmas,,Participant
1983,Przemyslaw Swiecki,Przemysław Święcki,8,Gold medal
1983,Adam Doliwa,Adam Doliwa,37,Bronze medal
1983,Wojciech Jacheć,Wojciech Jacheć,44,Bronze medal
1983,Paweł Grochowicz,Paweł Grochowicz,,Participant
1982,Grzegorz Świątek,Grzegorz Świątek,2,Gold medal
1982,Paluszewski Marek,Paluszewski Marek,9,Gold medal
1982,Krawiec Mariusz,Mariusz Krawiec,13,Silver medal
1982,Zembowicz Artur,Zembowicz Artur,19,Silver medal
1981,Jerzy Lisowski,Jerzy Lisowski,8,Silver medal
1981,Janusz Starakiewicz,Janusz Starakiewicz,9,Silver medal
1981,Grzegorz Świątek,Grzegorz Świątek,12,Silver medal
1981,Mariusz Krawiec,Mariusz Krawiec,31,Bronze medal
1980,Jerzy Kosiński,Jerzy Kosiński,1,Gold medal
1980,Janusz Rosiek,Janusz Rosiek,3,Gold medal
1980,Jerzy Lisowski,Jerzy Lisowski,9,Silver medal
1980,Janusz Starakiewicz,Janusz Starakiewicz,17,Silver medal
1979,Wiesław Kaźmierski,Wiesław Kaźmierski,2,Gold medal
1979,Jerzy Kosiński,Jerzy Kosiński,3,Gold medal
1979,Jacek Wojtkiewicz,Jacek Wojtkiewicz,7,Silver medal
1979,Michal Pawlak,Michal Pawlak,25,Bronze medal
