Year,Contestant,Original script,Rank,Award
1981,Paul Krajnik,Paul Krajnik,29,Bronze medal
1980,Christian Foidl,Christian Foidl,4,Gold medal
1980,Georg Schulz,Georg Schulz,9,Silver medal
1980,Peter Haas,Peter Haas,20,Bronze medal
1980,Gernot Friedbacher,Gernot Friedbacher,34,Honorable mention
1979,Wolfgang Schwabl,Wolfgang Schwabl,1,Gold medal
1979,Annemarie Schmoltner,Annemarie Schmoltner,9,Silver medal
1979,Christian Foidl,Christian Foidl,17,Bronze medal
1979,Werner Staringer,Werner Staringer,,Participant
1978,Wolfgang Schwabl,Wolfgang Schwabl,7,Silver medal
1978,Annemarie Schmoltner,Annemarie Schmoltner,28,Bronze medal
1978,Michael Landau,Michael Landau,,Participant
1978,Christian Foidl,Christian Foidl,,Participant
1977,Wolf Dieter Aichberger,Wolf Dieter Aichberger,1,Gold medal
1977,Georg Casari,Georg Casari,18,Bronze medal
1977,Andreas Bachmair,Andreas Bachmair,21,Bronze medal
1977,Michael Landau,Michael Landau,38,Bronze medal
1976,Georg Casari,Georg Casari,13,2nd Prize
1976,Karl Svardal,Karl Svardal,19,3rd Prize
1976,Wolfgang Tomischko,Wolfgang Tomischko,22,3rd Prize
1976,Wolf Dieter Aichberger,Wolf Dieter Aichberger,34,Honorable mention
1975,Ewald Zehetner,Ewald Zehetner,17,3rd Prize
1975,Peter Ambrosch,Peter Ambrosch,35,Honorable mention
1975,Johan Lohninger,Johan Lohninger,36,Honorable mention
1975,Karl Svardal,Karl Svardal,,Participant
