Year,Contestant,Original script,Rank,Award
1986,Adrian Şalic,Adrian Şalic,41,Bronze medal
1986,Marilena Gîlcă,Marilena Gîlcă,45,Bronze medal
1986,Traian Sulea,Traian Sulea,52,Bronze medal
1985,Dragos Horváth,Dragoş Horváth,2,Gold medal
1985,Dorin Borza,Dorin Borza,26,Silver medal
1985,Sorin Armeanu,Sorin Armeanu,60,Bronze medal
1985,Oana Pusciou,Oana Pusciou,,Participant
1984,Andrei Tica,Andrei Tică,14,Silver medal
1984,Fery Stoica,Fery Stoica,28,Bronze medal
1984,Claudia Timofte,Claudia Timofte,39,Bronze medal
1984,Lucian Bildea,Lucian Bildea,,Participant
1982,Nafornita Doina,Năforniţă Doina,35,Bronze medal
1982,Popescu Cătălin,Popescu Cătălin,46,Bronze medal
1982,Sorin Bildea,Sorin Bildea,,Participant
1981,Claudiu Supuran,Claudiu Supuran,6,Gold medal
1981,Costin Bildea,Costin Bildea,22,Bronze medal
1981,Mirca Florea,Mirca Florea,25,Bronze medal
1981,Camelia Ignat,Camelia Ignat,,Participant
1980,Florin Omota,Florin Omota,2,Gold medal
1980,Valeriu Pompilian,Valeriu Pompilian,22,Bronze medal
1980,Gheorghe Pana,Gheorghe Pana,30,Bronze medal
1980,Claudiu Supuran,Claudiu Supuran,31,Bronze medal
1979,Adriana Ionescu,Adriana Ionescu,10,Silver medal
1979,Gavrila Lucian,Gavrila Lucian,15,Silver medal
1979,Liviu Burzan,Liviu Burzan,16,Silver medal
1979,Dorin Toader,Dorin Toader,21,Bronze medal
1978,Mihaela Turbatu,Mihaela Turbatu,13,Silver medal
1978,Adrian Panaite,Adrian Panaite,25,Bronze medal
1978,Mihai Curtescu,Mihai Curtescu,,Participant
1978,Daniel Ene,Daniel Ene,,Participant
1977,Alexandru Popina,Alexandru Popina,13,Silver medal
1977,Andrei Nicolau,Andrei Nicolau,29,Bronze medal
1977,Stoica Florica,Stoica Florica,34,Bronze medal
1977,Ivana Marius Tiberiu,Ivana Marius Tiberiu,39,Bronze medal
1976,Mircea Teodorescu,Mircea Teodorescu,9,2nd Prize
1976,Razvan Cimpoia,Razvan Cimpoia,11,2nd Prize
1976,Andrei Nicolau,Andrei Nicolau,27,3rd Prize
1976,Florica Stoica,Florica Stoica,40,Honorable mention
1975,Stefan Popescu,Stefan Popescu,11,3rd Prize
1975,Nicolae Berti,Nicolae Berti,18,3rd Prize
1975,Dana Pelin,Dana Pelin,26,Honorable mention
1975,Dan Simon,Dan Simon,27,Honorable mention
1974,Angela Corpade,Angela Corpade,2,1st Prize
1974,Gheorghe Maria,Gheorghe Maria,4,1st Prize
1974,Victor David,Victor David,9,3rd Prize
1974,Doina Dinci,Doina Dinci,10,3rd Prize
1973,Marius Andruh,Marius Andruh,5,3rd Prize
1973,Gabriel Drochion,Gabriel Drochion,15,3rd Prize
1973,Dorin Stelean Stanescu,Dorin Stelean Stanescu,,Participant
1973,Marcel Istrate,Marcel Istrate,,Participant
1972,Serban Sgarcitu,Serban Sgarcitu,,Participant
1972,Iftimie Nesfantu,Iftimie Nesfantu,,Participant
1972,Mihai Jusut,Mihai Jusut,,Participant
1972,Radu Sorin Straja,Radu Sorin Straja,,Participant
